,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnW,0.9814380969544062,0.9828797981618309,0.0003604253018561903,0.0005406379527842854,0.0014417012074247613,0.0005406379527842854,0.0005406379527842854,0.0,0.001081275905568571,0.00018021265092809516,1,0.001081275905568571,0.0003604253018561903,0.0003604253018561903,0.012434672914038566,0.0005406379527842854,0.0009010632546404757,0.0007208506037123806,0.00018021265092809516,0.0005406379527842854,0.0009010632546404757,0.00018021265092809516,0.0005406379527842854,0.00018021265092809516,0.0,0.00018021265092809516,0.0005406379527842854,0.0,0.001261488556496666,0.00018021265092809516,0.0003604253018561903,0.007749143989908091,0.0003604253018561903,0.0009010632546404757,0.0007208506037123806
trnF,0.0,0.0,0.00018021265092809516,0.0,0.8387096774193549,0.002342764462065237,0.0003604253018561903,0.0,0.0009010632546404757,0.00018021265092809516,0.001081275905568571,1,0.0003604253018561903,0.010632546404757614,0.00018021265092809516,0.001081275905568571,0.0009010632546404757,0.9931519192647323,0.0003604253018561903,0.0,0.00018021265092809516,0.13894395386556135,0.0007208506037123806,0.002522977112993332,0.0003604253018561903,0.0,0.0014417012074247613,0.0003604253018561903,0.00018021265092809516,0.00018021265092809516,0.0014417012074247613,0.0005406379527842854,0.0009010632546404757,0.0007208506037123806,0.00018021265092809516
trnH,0.001081275905568571,0.0005406379527842854,0.001261488556496666,0.0003604253018561903,0.0005406379527842854,0.0003604253018561903,0.0,0.001081275905568571,0.0,0.0,0.0003604253018561903,0.0003604253018561903,1,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,0.00018021265092809516,0.00018021265092809516,0.9879257523878177,0.0,0.00018021265092809516,0.0,0.0003604253018561903,0.008109569291764282,0.00018021265092809516,0.0003604253018561903,0.990448729500811,0.0007208506037123806,0.0003604253018561903,0.0007208506037123806,0.001081275905568571,0.0005406379527842854,0.0005406379527842854,0.0,0.001261488556496666
trnT,0.0003604253018561903,0.0003604253018561903,0.004144890971346188,0.0,0.9709857632005767,0.0,0.0003604253018561903,0.0003604253018561903,0.0019823391602090466,0.0,0.0003604253018561903,0.010632546404757614,0.00018021265092809516,1,0.0005406379527842854,0.001081275905568571,0.0003604253018561903,0.00018021265092809516,0.00018021265092809516,0.0,0.0005406379527842854,0.007388718688051901,0.0,0.020183816903946657,0.0003604253018561903,0.0005406379527842854,0.00018021265092809516,0.00018021265092809516,0.0007208506037123806,0.0,0.9691836366912957,0.0,0.008830419895476662,0.0009010632546404757,0.0009010632546404757
trnN,0.9828797981618309,0.0027031897639214274,0.00018021265092809516,0.00018021265092809516,0.0,0.0007208506037123806,0.0005406379527842854,0.0003604253018561903,0.0,0.0,0.012434672914038566,0.00018021265092809516,0.0003604253018561903,0.0005406379527842854,1,0.0005406379527842854,0.0003604253018561903,0.0,0.0,0.00018021265092809516,0.0,0.00018021265092809516,0.00018021265092809516,0.0003604253018561903,0.0003604253018561903,0.003964678320418093,0.0005406379527842854,0.0003604253018561903,0.009190845197332853,0.0,0.0003604253018561903,0.9803568210488376,0.0009010632546404757,0.0,0.0007208506037123806
trnM,0.001081275905568571,0.990628942151739,0.0003604253018561903,0.0005406379527842854,0.0009010632546404757,0.0003604253018561903,0.0005406379527842854,0.0007208506037123806,0.9787349071904847,0.0007208506037123806,0.0005406379527842854,0.001081275905568571,0.0005406379527842854,0.001081275905568571,0.0005406379527842854,1,0.01820147774373761,0.0005406379527842854,0.0003604253018561903,0.00018021265092809516,0.0027031897639214274,0.002342764462065237,0.00018021265092809516,0.0014417012074247613,0.00018021265092809516,0.001261488556496666,0.001081275905568571,0.0007208506037123806,0.0009010632546404757,0.0,0.0003604253018561903,0.0003604253018561903,0.0005406379527842854,0.0009010632546404757,0.0003604253018561903
trnI,0.0005406379527842854,0.0007208506037123806,0.0005406379527842854,0.00018021265092809516,0.007929356640836186,0.0009010632546404757,0.0003604253018561903,0.0,0.9652189583708777,0.002162551811137142,0.0009010632546404757,0.0009010632546404757,0.00018021265092809516,0.0003604253018561903,0.0003604253018561903,0.01820147774373761,1,0.0016219138583528565,0.0,0.0005406379527842854,0.9821589475581186,0.002162551811137142,0.00018021265092809516,0.012975310866822852,0.0,0.00018021265092809516,0.00018021265092809516,0.0007208506037123806,0.0,0.0005406379527842854,0.00018021265092809516,0.00018021265092809516,0.0,0.0,0.0
rrnS,0.0007208506037123806,0.0,0.0,0.0005406379527842854,0.0027031897639214274,0.9922508560100919,0.0,0.0,0.0003604253018561903,0.002162551811137142,0.0007208506037123806,0.9931519192647323,0.00018021265092809516,0.00018021265092809516,0.0,0.0005406379527842854,0.0016219138583528565,1,0.0003604253018561903,0.0,0.0,0.0003604253018561903,0.0,0.0018021265092809514,0.00018021265092809516,0.0,0.0009010632546404757,0.00018021265092809516,0.0,0.0,0.0003604253018561903,0.0,0.0,0.0005406379527842854,0.0005406379527842854
nad4,0.001261488556496666,0.0,0.0005406379527842854,0.0,0.0014417012074247613,0.001081275905568571,0.0,0.9954946837267976,0.0,0.00018021265092809516,0.00018021265092809516,0.0003604253018561903,0.9879257523878177,0.00018021265092809516,0.0,0.0003604253018561903,0.0,0.0003604253018561903,1,0.0,0.0,0.00018021265092809516,0.00018021265092809516,0.0003604253018561903,0.00018021265092809516,0.00018021265092809516,0.006487655433411426,0.0007208506037123806,0.0,0.0007208506037123806,0.0,0.0003604253018561903,0.0003604253018561903,0.0,0.0005406379527842854
cox3,0.00018021265092809516,0.00018021265092809516,0.0,0.001261488556496666,0.0,0.00018021265092809516,0.9940529825193729,0.001081275905568571,0.001261488556496666,0.00018021265092809516,0.0005406379527842854,0.0,0.0,0.0,0.00018021265092809516,0.00018021265092809516,0.0005406379527842854,0.0,0.0,1,0.0,0.0,0.0003604253018561903,0.0,0.0005406379527842854,0.0009010632546404757,0.0007208506037123806,0.0018021265092809514,0.0005406379527842854,0.0003604253018561903,0.0,0.0003604253018561903,0.0,0.0005406379527842854,0.9929717066138043
