,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnW,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.007042253521126761,0.014084507042253521,0.0,1,0.0,0.0,0.007042253521126761,0.014084507042253521,0.028169014084507043,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.035211267605633804,0.8943661971830986,0.9014084507042254,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnF,0.0,0.014084507042253521,0.007042253521126761,0.007042253521126761,0.0,0.0,0.11267605633802817,0.0,0.8309859154929577,0.0,0.0,1,0.014084507042253521,0.007042253521126761,0.0,0.8169014084507042,0.028169014084507043,0.014084507042253521,0.07746478873239436,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.014084507042253521,0.0,0.0,0.028169014084507043,0.02112676056338028,0.0,0.0,0.0,0.0,0.0
trnH,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.014084507042253521,0.0,0.007042253521126761,0.0,0.0,0.014084507042253521,1,0.014084507042253521,0.0,0.04929577464788732,0.0,0.007042253521126761,0.0,0.8591549295774648,0.0,0.056338028169014086,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.9436619718309859,0.014084507042253521,0.0,0.0,0.0
trnT,0.02112676056338028,0.014084507042253521,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,0.9295774647887324,0.007042253521126761,0.007042253521126761,0.014084507042253521,1,0.007042253521126761,0.0,0.0,0.0,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.0,0.9014084507042254,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.02112676056338028
trnN,0.0,0.014084507042253521,0.007042253521126761,0.0,0.8873239436619719,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.007042253521126761,1,0.014084507042253521,0.056338028169014086,0.014084507042253521,0.0,0.0,0.8873239436619719,0.014084507042253521,0.007042253521126761,0.007042253521126761,0.0,0.0,0.028169014084507043,0.0,0.007042253521126761,0.0,0.028169014084507043,0.007042253521126761,0.0,0.0,0.0
trnM,0.014084507042253521,0.02112676056338028,0.0,0.0,0.02112676056338028,0.007042253521126761,0.8169014084507042,0.007042253521126761,0.07746478873239436,0.0,0.028169014084507043,0.8169014084507042,0.04929577464788732,0.0,0.014084507042253521,1,0.007042253521126761,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.0,0.0,0.007042253521126761,0.04929577464788732,0.0,0.04929577464788732,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0
trnI,0.014084507042253521,0.007042253521126761,0.0,0.8732394366197183,0.8873239436619719,0.0,0.028169014084507043,0.007042253521126761,0.028169014084507043,0.007042253521126761,0.0,0.028169014084507043,0.0,0.0,0.056338028169014086,0.007042253521126761,1,0.0,0.0,0.028169014084507043,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rrnS,0.014084507042253521,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.04225352112676056,0.0,0.014084507042253521,0.007042253521126761,0.0,0.014084507042253521,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.8873239436619719,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.9225352112676056,0.0,0.0,0.0
nad4,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.971830985915493,0.8591549295774648,0.0,0.0,0.07746478873239436,0.0,0.014084507042253521,0.0,0.007042253521126761,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.007042253521126761,0.02112676056338028,0.0,0.0,0.007042253521126761,0.0
cox3,0.0,0.0,0.014084507042253521,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.8591549295774648,0.0,0.0,0.007042253521126761,0.028169014084507043,0.0,0.0,1,0.007042253521126761,0.20422535211267606,0.0,0.02112676056338028,0.0,0.0,0.02112676056338028,0.007042253521126761,0.007042253521126761,0.028169014084507043,0.0,0.014084507042253521,0.007042253521126761,0.028169014084507043,0.7323943661971831
nad1,0.007042253521126761,0.0,0.0,0.0,0.014084507042253521,0.07042253521126761,0.02112676056338028,0.007042253521126761,0.0,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.8873239436619719,0.007042253521126761,0.007042253521126761,0.0,0.0,0.007042253521126761,1,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.9154929577464789,0.0
trnE,0.0,0.007042253521126761,0.11267605633802817,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.20422535211267606,0.0,1,0.0,0.035211267605633804,0.5845070422535211,0.02112676056338028,0.014084507042253521,0.0,0.0,0.0,0.02112676056338028,0.0,0.6408450704225352,0.0,0.24647887323943662
atp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0
trnL,0.028169014084507043,0.007042253521126761,0.035211267605633804,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.07746478873239436,0.04929577464788732,0.0,0.0,0.007042253521126761,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.0,0.056338028169014086,0.0,0.02112676056338028,0.0,0.035211267605633804,0.0,1,0.04225352112676056,0.0,0.8873239436619719,0.02112676056338028,0.7887323943661971,0.8450704225352113,0.0,0.02112676056338028,0.06338028169014084,0.0,0.014084507042253521
cox2,0.007042253521126761,0.0,0.0,0.007042253521126761,0.028169014084507043,0.014084507042253521,0.0,0.0,0.0,0.0,0.035211267605633804,0.007042253521126761,0.007042253521126761,0.0,0.0,0.04929577464788732,0.0,0.8873239436619719,0.0,0.0,0.0,0.5845070422535211,0.0,0.04225352112676056,1,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.31690140845070425,0.0,0.007042253521126761
cox1,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.8943661971830986,0.014084507042253521,0.0,0.9014084507042254,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.02112676056338028,0.007042253521126761,0.0,0.0,1,0.06338028169014084,0.0,0.0,0.007042253521126761,0.007042253521126761,0.0,0.007042253521126761,0.0,0.04929577464788732
trnS,0.007042253521126761,0.035211267605633804,0.06338028169014084,0.0,0.007042253521126761,0.02112676056338028,0.0,0.007042253521126761,0.0,0.02112676056338028,0.9014084507042254,0.0,0.0,0.0,0.028169014084507043,0.04929577464788732,0.0,0.0,0.014084507042253521,0.02112676056338028,0.007042253521126761,0.014084507042253521,0.0,0.8873239436619719,0.0,0.06338028169014084,1,0.8732394366197183,0.14788732394366197,0.028169014084507043,0.0,0.014084507042253521,0.035211267605633804,0.04929577464788732,0.028169014084507043
nad3,0.014084507042253521,0.0,0.0,0.9084507042253521,0.056338028169014086,0.02112676056338028,0.007042253521126761,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.8732394366197183,1,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0
trnY,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.007042253521126761,0.0,0.0,0.007042253521126761,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.7887323943661971,0.0,0.0,0.14788732394366197,0.0,1,0.04929577464788732,0.0,0.035211267605633804,0.8661971830985915,0.0,0.035211267605633804
trnR,0.0,0.0,0.9084507042253521,0.0,0.0,0.007042253521126761,0.0,0.014084507042253521,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.007042253521126761,0.028169014084507043,0.0,0.0,0.0,0.8450704225352113,0.0,0.007042253521126761,0.028169014084507043,0.0,0.04929577464788732,1,0.007042253521126761,0.014084507042253521,0.0,0.035211267605633804,0.014084507042253521
cob,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.9577464788732394,0.0,0.0,0.0,0.0,0.9436619718309859,0.0,0.028169014084507043,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,1,0.007042253521126761,0.0,0.0,0.0
trnC,0.007042253521126761,0.0,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.8943661971830986,0.0,0.0,0.014084507042253521,0.007042253521126761,0.007042253521126761,0.0,0.0,0.9225352112676056,0.0,0.014084507042253521,0.0,0.0,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.0,0.014084507042253521,0.0,0.035211267605633804,0.014084507042253521,0.007042253521126761,1,0.0,0.0,0.014084507042253521
nad6,0.0,0.0,0.04225352112676056,0.007042253521126761,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.007042253521126761,0.0,0.6408450704225352,0.0,0.06338028169014084,0.31690140845070425,0.007042253521126761,0.035211267605633804,0.0,0.8661971830985915,0.0,0.0,0.0,1,0.0,0.0
trnD,0.8873239436619719,0.0,0.0,0.0,0.0,0.02112676056338028,0.007042253521126761,0.0,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.028169014084507043,0.9154929577464789,0.0,0.0,0.0,0.0,0.0,0.04929577464788732,0.04225352112676056,0.0,0.035211267605633804,0.0,0.0,0.0,1,0.0
trnG,0.007042253521126761,0.007042253521126761,0.7887323943661971,0.0,0.0,0.007042253521126761,0.0,0.0,0.0,0.035211267605633804,0.0,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.7323943661971831,0.0,0.24647887323943662,0.0,0.014084507042253521,0.007042253521126761,0.04929577464788732,0.028169014084507043,0.0,0.035211267605633804,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,1
