,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnL,0.7375,0.0125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.2,0.025,0.0625,0.0,0.0375,0.9875,0.0625,0.0125,0.0,0.0,0.0,0.925,0.0125,0.0,1,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0125,0.025,0.0,0.7125
cox2,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,1,0.0125,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0
cox1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.5,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0125,1,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.0,0.0
trnS,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nad3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trnY,0.025,0.0625,0.0,0.0,0.0,0.2875,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.075,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.6375,0.6375
trnR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0125,0.9875,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
cob,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.6625,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.7125,0.2875,0.0
trnC,0.0625,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.1875,0.0,0.65,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0875,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
nad6,0.0375,0.0,0.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.7125,0.0,1,0.0,0.1125
trnD,0.0,0.2875,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375,0.0,0.2875,0.0,0.0,1,0.0
trnG,0.0125,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.3,0.0,0.0125,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.7125,0.0,0.0,0.0,0.0,0.6375,0.0,0.0,0.0,0.1125,0.0,1
