,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnW,0.024439918533604887,0.034623217922606926,0.002036659877800407,0.032586558044806514,0.006109979633401222,0.05091649694501019,0.016293279022403257,0.08961303462321792,0.3890020366598778,0.010183299389002037,1,0.034623217922606926,0.02240325865580448,0.006109979633401222,0.02240325865580448,0.14663951120162932,0.002036659877800407,0.026476578411405296,0.006109979633401222,0.002036659877800407,0.012219959266802444,0.07535641547861507,0.004073319755600814,0.018329938900203666,0.006109979633401222,0.020366598778004074,0.014256619144602852,0.012219959266802444,0.2525458248472505,0.1629327902240326,0.008146639511201629,0.3075356415478615,0.018329938900203666,0.016293279022403257,0.1446028513238289
trnF,0.0835030549898167,0.004073319755600814,0.5071283095723014,0.03054989816700611,0.012219959266802444,0.04276985743380855,0.16089613034623218,0.008146639511201629,0.016293279022403257,0.020366598778004074,0.034623217922606926,1,0.024439918533604887,0.03054989816700611,0.002036659877800407,0.024439918533604887,0.02240325865580448,0.024439918533604887,0.006109979633401222,0.23421588594704684,0.024439918533604887,0.006109979633401222,0.008146639511201629,0.06924643584521385,0.1690427698574338,0.048879837067209775,0.020366598778004074,0.002036659877800407,0.002036659877800407,0.02240325865580448,0.14052953156822812,0.109979633401222,0.02240325865580448,0.0814663951120163,0.006109979633401222
trnH,0.11405295315682282,0.002036659877800407,0.46435845213849286,0.004073319755600814,0.012219959266802444,0.006109979633401222,0.02240325865580448,0.0,0.1120162932790224,0.002036659877800407,0.02240325865580448,0.024439918533604887,1,0.004073319755600814,0.006109979633401222,0.010183299389002037,0.014256619144602852,0.010183299389002037,0.5641547861507128,0.008146639511201629,0.002036659877800407,0.05702647657841141,0.008146639511201629,0.03054989816700611,0.032586558044806514,0.006109979633401222,0.07942973523421588,0.09164969450101833,0.03054989816700611,0.03054989816700611,0.016293279022403257,0.038696537678207736,0.012219959266802444,0.002036659877800407,0.15885947046843177
trnT,0.016293279022403257,0.012219959266802444,0.014256619144602852,0.12423625254582485,0.016293279022403257,0.018329938900203666,0.026476578411405296,0.41140529531568226,0.020366598778004074,0.0,0.006109979633401222,0.03054989816700611,0.004073319755600814,1,0.034623217922606926,0.010183299389002037,0.04684317718940937,0.06109979633401222,0.15071283095723015,0.18533604887983707,0.008146639511201629,0.03054989816700611,0.004073319755600814,0.059063136456211814,0.008146639511201629,0.016293279022403257,0.3910386965376782,0.006109979633401222,0.1710794297352342,0.014256619144602852,0.03665987780040733,0.016293279022403257,0.012219959266802444,0.010183299389002037,0.034623217922606926
trnN,0.04480651731160896,0.004073319755600814,0.06109979633401222,0.006109979633401222,0.11812627291242363,0.008146639511201629,0.1629327902240326,0.014256619144602852,0.028513238289205704,0.018329938900203666,0.02240325865580448,0.002036659877800407,0.006109979633401222,0.034623217922606926,1,0.02240325865580448,0.38289205702647655,0.028513238289205704,0.03054989816700611,0.02240325865580448,0.038696537678207736,0.05702647657841141,0.1629327902240326,0.15071283095723015,0.026476578411405296,0.004073319755600814,0.034623217922606926,0.034623217922606926,0.004073319755600814,0.3625254582484725,0.002036659877800407,0.04684317718940937,0.004073319755600814,0.010183299389002037,0.048879837067209775
trnM,0.004073319755600814,0.1384928716904277,0.02240325865580448,0.03665987780040733,0.02240325865580448,0.02240325865580448,0.24439918533604887,0.008146639511201629,0.010183299389002037,0.032586558044806514,0.14663951120162932,0.024439918533604887,0.010183299389002037,0.010183299389002037,0.02240325865580448,1,0.004073319755600814,0.37678207739307534,0.0,0.032586558044806514,0.014256619144602852,0.026476578411405296,0.018329938900203666,0.05091649694501019,0.06720977596741344,0.008146639511201629,0.0814663951120163,0.1894093686354379,0.31568228105906315,0.038696537678207736,0.016293279022403257,0.13034623217922606,0.02240325865580448,0.026476578411405296,0.010183299389002037
trnI,0.002036659877800407,0.19144602851323828,0.018329938900203666,0.04480651731160896,0.018329938900203666,0.12423625254582485,0.016293279022403257,0.028513238289205704,0.03665987780040733,0.03054989816700611,0.002036659877800407,0.02240325865580448,0.014256619144602852,0.04684317718940937,0.38289205702647655,0.004073319755600814,1,0.002036659877800407,0.014256619144602852,0.20162932790224034,0.008146639511201629,0.016293279022403257,0.004073319755600814,0.018329938900203666,0.020366598778004074,0.010183299389002037,0.010183299389002037,0.46435845213849286,0.002036659877800407,0.034623217922606926,0.004073319755600814,0.14052953156822812,0.018329938900203666,0.04276985743380855,0.012219959266802444
rrnS,0.008146639511201629,0.008146639511201629,0.008146639511201629,0.15885947046843177,0.024439918533604887,0.4175152749490835,0.006109979633401222,0.002036659877800407,0.02240325865580448,0.02240325865580448,0.026476578411405296,0.024439918533604887,0.010183299389002037,0.06109979633401222,0.028513238289205704,0.37678207739307534,0.002036659877800407,1,0.010183299389002037,0.032586558044806514,0.004073319755600814,0.40122199592668023,0.0,0.024439918533604887,0.006109979633401222,0.012219959266802444,0.03054989816700611,0.002036659877800407,0.03054989816700611,0.13441955193482688,0.0,0.05091649694501019,0.012219959266802444,0.0,0.06720977596741344
nad4,0.008146639511201629,0.008146639511201629,0.032586558044806514,0.018329938900203666,0.014256619144602852,0.04073319755600815,0.004073319755600814,0.5967413441955194,0.012219959266802444,0.016293279022403257,0.006109979633401222,0.006109979633401222,0.5641547861507128,0.15071283095723015,0.03054989816700611,0.0,0.014256619144602852,0.010183299389002037,1,0.020366598778004074,0.008146639511201629,0.002036659877800407,0.04073319755600815,0.008146639511201629,0.0,0.034623217922606926,0.17718940936863545,0.010183299389002037,0.020366598778004074,0.004073319755600814,0.004073319755600814,0.002036659877800407,0.12423625254582485,0.002036659877800407,0.008146639511201629
cox3,0.05702647657841141,0.03665987780040733,0.008146639511201629,0.4154786150712831,0.004073319755600814,0.004073319755600814,0.16089613034623218,0.008146639511201629,0.026476578411405296,0.018329938900203666,0.002036659877800407,0.23421588594704684,0.008146639511201629,0.18533604887983707,0.02240325865580448,0.032586558044806514,0.20162932790224034,0.032586558044806514,0.020366598778004074,1,0.0,0.13441955193482688,0.010183299389002037,0.024439918533604887,0.010183299389002037,0.13441955193482688,0.10183299389002037,0.028513238289205704,0.010183299389002037,0.006109979633401222,0.008146639511201629,0.002036659877800407,0.006109979633401222,0.020366598778004074,0.054989816700611
