,trnA,nad2,nad5,trnK,trnP,trnV,atp6,nad4L,trnQ,rrnL,trnW,trnF,trnH,trnT,trnN,trnM,trnI,rrnS,nad4,cox3,nad1,trnE,atp8,trnL,cox2,cox1,trnS,nad3,trnY,trnR,cob,trnC,nad6,trnD,trnG
trnW,0.005714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.0,0.02857142857142857,0.0,0.6514285714285715,0.06857142857142857,0.005714285714285714,1,0.05142857142857143,0.005714285714285714,0.0,0.005714285714285714,0.0,0.0,0.02857142857142857,0.04,0.08,0.03428571428571429,0.6228571428571429,0.0,0.005714285714285714,0.005714285714285714,0.14285714285714285,0.022857142857142857,0.0,0.045714285714285714,0.005714285714285714,0.011428571428571429,0.0,0.09714285714285714,0.022857142857142857,0.0
trnF,0.011428571428571429,0.0,0.06857142857142857,0.0,0.011428571428571429,0.005714285714285714,0.11428571428571428,0.005714285714285714,0.6514285714285715,0.005714285714285714,0.05142857142857143,1,0.011428571428571429,0.0,0.017142857142857144,0.06857142857142857,0.005714285714285714,0.0,0.005714285714285714,0.0,0.09714285714285714,0.011428571428571429,0.0,0.005714285714285714,0.005714285714285714,0.011428571428571429,0.02857142857142857,0.0,0.005714285714285714,0.017142857142857144,0.6971428571428572,0.03428571428571429,0.02857142857142857,0.0,0.022857142857142857
trnH,0.0,0.0,0.06857142857142857,0.011428571428571429,0.0,0.005714285714285714,0.022857142857142857,0.0,0.005714285714285714,0.8171428571428572,0.005714285714285714,0.011428571428571429,1,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.03428571428571429,0.022857142857142857,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.005714285714285714,0.005714285714285714,0.0,0.07428571428571429,0.005714285714285714,0.0,0.005714285714285714,0.0,0.005714285714285714
trnT,0.005714285714285714,0.10285714285714286,0.0,0.0,0.10857142857142857,0.017142857142857144,0.005714285714285714,0.06857142857142857,0.0,0.011428571428571429,0.0,0.0,0.011428571428571429,1,0.017142857142857144,0.005714285714285714,0.0,0.04,0.8114285714285714,0.6628571428571428,0.011428571428571429,0.005714285714285714,0.0,0.03428571428571429,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.011428571428571429,0.0,0.005714285714285714,0.0,0.005714285714285714
trnN,0.017142857142857144,0.0,0.0,0.011428571428571429,0.011428571428571429,0.011428571428571429,0.011428571428571429,0.022857142857142857,0.011428571428571429,0.0,0.005714285714285714,0.017142857142857144,0.005714285714285714,0.017142857142857144,1,0.08571428571428572,0.04,0.005714285714285714,0.0,0.06285714285714286,0.022857142857142857,0.011428571428571429,0.0,0.1657142857142857,0.0,0.04,0.6628571428571428,0.005714285714285714,0.6171428571428571,0.017142857142857144,0.0,0.03428571428571429,0.011428571428571429,0.005714285714285714,0.022857142857142857
trnM,0.005714285714285714,0.06857142857142857,0.011428571428571429,0.09714285714285714,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.005714285714285714,0.0,0.06857142857142857,0.0,0.06857142857142857,0.005714285714285714,0.005714285714285714,0.08571428571428572,1,0.0,0.005714285714285714,0.05142857142857143,0.005714285714285714,0.0,0.005714285714285714,0.0,0.02857142857142857,0.005714285714285714,0.011428571428571429,0.05714285714285714,0.0,0.0,0.0,0.0,0.6285714285714286,0.02857142857142857,0.6742857142857143,0.04
trnI,0.005714285714285714,0.7314285714285714,0.0,0.0,0.005714285714285714,0.005714285714285714,0.09714285714285714,0.0,0.08,0.0,0.0,0.005714285714285714,0.005714285714285714,0.0,0.04,0.0,1,0.011428571428571429,0.0,0.045714285714285714,0.0,0.011428571428571429,0.0,0.005714285714285714,0.017142857142857144,0.005714285714285714,0.017142857142857144,0.022857142857142857,0.022857142857142857,0.6628571428571428,0.017142857142857144,0.0,0.005714285714285714,0.017142857142857144,0.1657142857142857
rrnS,0.04,0.0,0.0,0.005714285714285714,0.02857142857142857,0.07428571428571429,0.0,0.11428571428571428,0.011428571428571429,0.005714285714285714,0.02857142857142857,0.0,0.03428571428571429,0.04,0.005714285714285714,0.005714285714285714,0.011428571428571429,1,0.005714285714285714,0.0,0.0,0.6628571428571428,0.0,0.005714285714285714,0.0,0.005714285714285714,0.7485714285714286,0.0,0.11428571428571428,0.005714285714285714,0.0,0.005714285714285714,0.0,0.022857142857142857,0.011428571428571429
nad4,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.04,0.005714285714285714,0.017142857142857144,0.07428571428571429,0.0,0.0,0.04,0.005714285714285714,0.022857142857142857,0.8114285714285714,0.0,0.05142857142857143,0.0,0.005714285714285714,1,0.011428571428571429,0.0,0.005714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.68,0.017142857142857144,0.0,0.022857142857142857,0.06857142857142857,0.005714285714285714,0.0,0.017142857142857144,0.045714285714285714,0.03428571428571429
cox3,0.10285714285714286,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.02857142857142857,0.0,0.07428571428571429,0.0,0.005714285714285714,0.005714285714285714,0.08,0.0,0.0,0.6628571428571428,0.06285714285714286,0.005714285714285714,0.045714285714285714,0.0,0.011428571428571429,1,0.017142857142857144,0.0,0.0,0.7714285714285715,0.011428571428571429,0.005714285714285714,0.0,0.0,0.005714285714285714,0.017142857142857144,0.03428571428571429,0.0,0.022857142857142857,0.0,0.005714285714285714
